Crystal angle	Rate at 27kV
theta/	R(27kV)/Imp/s

3,0	362,0
3,1	326,0
3,2	248,0
3,3	182,0
3,4	135,0
3,5	78,0
3,6	60,0
3,7	34,0
3,8	29,0
3,9	24,0
4,0	24,0
4,1	22,0
4,2	20,0
4,3	16,0
4,4	13,0
4,5	20,0
4,6	14,0
4,7	15,0
4,8	20,0
4,9	19,0
5,0	20,0
5,1	25,0
5,2	29,0
5,3	30,0
5,4	36,0
5,5	44,0
5,6	54,0
5,7	54,0
5,8	62,0
5,9	61,0
6,0	67,0
6,1	76,0
6,2	74,0
6,3	89,0
6,4	91,0
6,5	101,0
6,6	110,0
6,7	102,0
6,8	121,0
6,9	139,0
7,0	141,0
7,1	177,0
7,2	198,0
7,3	231,0
7,4	268,0
7,5	248,0
7,6	287,0
7,7	358,0
7,8	226,0
7,9	138,0
8,0	143,0
8,1	144,0
8,2	140,0
