Crystal angle	Rate at 15kV
theta/	R(15kV)/Imp/s

3,0	31,0
3,1	25,0
3,2	25,0
3,3	17,0
3,4	12,0
3,5	8,0
3,6	4,0
3,7	1,0
3,8	2,0
3,9	2,0
4,0	1,0
4,1	3,0
4,2	2,0
4,3	0,0
4,4	1,0
4,5	1,0
4,6	1,0
4,7	1,0
4,8	1,0
4,9	1,0
5,0	1,0
5,1	1,0
5,2	1,0
5,3	1,0
5,4	1,0
5,5	1,0
5,6	1,0
5,7	0,0
5,8	1,0
5,9	1,0
6,0	1,0
6,1	1,0
6,2	0,0
6,3	1,0
6,4	0,0
6,5	2,0
6,6	1,0
6,7	1,0
6,8	1,0
6,9	1,0
7,0	1,0
7,1	1,0
7,2	0,0
7,3	1,0
7,4	0,0
7,5	1,0
7,6	1,0
7,7	0,0
7,8	0,0
7,9	1,0
8,0	0,0
8,1	1,0
8,2	0,0
8,3	1,0
8,4	0,0
8,5	2,0
8,6	2,0
8,7	4,0
8,8	6,0
8,9	7,0
9,0	8,0
9,1	13,0
9,2	15,0
9,3	18,0
9,4	19,0
9,5	24,0
9,6	22,0
9,7	23,0
9,8	21,0
9,9	30,0
10,0	24,0
10,1	23,0
10,2	29,0
10,3	31,0
10,4	29,0
10,5	27,0
10,6	33,0
10,7	31,0
10,8	35,0
10,9	33,0
11,0	36,0
11,1	33,0
11,2	28,0
11,3	36,0
11,4	33,0
11,5	35,0
11,6	31,0
11,7	35,0
11,8	32,0
11,9	35,0
12,0	32,0
12,1	39,0
12,2	36,0
12,3	34,0
12,4	29,0
12,5	34,0
12,6	27,0
12,7	28,0
12,8	31,0
12,9	33,0
13,0	35,0
13,1	28,0
13,2	29,0
13,3	28,0
13,4	31,0
13,5	26,0
13,6	29,0
13,7	32,0
13,8	31,0
13,9	26,0
14,0	26,0
