Crystal angle	Rate at 18kV
theta/ R(18kV)/Imp/s

3,0	72,0
3,1	69,0
3,2	43,0
3,3	37,0
3,4	28,0
3,5	17,0
3,6	9,0
3,7	5,0
3,8	4,0
3,9	5,0
4,0	3,0
4,1	3,0
4,2	3,0
4,3	3,0
4,4	3,0
4,5	1,0
4,6	2,0
4,7	3,0
4,8	4,0
4,9	3,0
5,0	3,0
5,1	3,0
5,2	4,0
5,3	3,0
5,4	3,0
5,5	2,0
5,6	1,0
5,7	2,0
5,8	1,0
5,9	1,0
6,0	3,0
6,1	2,0
6,2	1,0
6,3	2,0
6,4	2,0
6,5	2,0
6,6	1,0
6,7	1,0
6,8	1,0
6,9	2,0
7,0	2,0
7,1	5,0
7,2	5,0
7,3	5,0
7,4	8,0
7,5	12,0
7,6	13,0
7,7	21,0
7,8	22,0
7,9	27,0
8,0	25,0
8,1	33,0
8,2	31,0
8,3	39,0
8,4	40,0
8,5	42,0
8,6	43,0
8,7	48,0
8,8	47,0
8,9	50,0
9,0	55,0
9,1	52,0
9,2	51,0
9,3	53,0
9,4	60,0
9,5	59,0
9,6	64,0
9,7	69,0
9,8	56,0
9,9	59,0
10,0	61,0
10,1	50,0
10,2	54,0
10,3	55,0
10,4	56,0
10,5	58,0
10,6	55,0
10,7	56,0
10,8	58,0
10,9	60,0
11,0	54,0
11,1	53,0
11,2	54,0
11,3	59,0
11,4	58,0
11,5	50,0
11,6	54,0
11,7	55,0
11,8	58,0
11,9	49,0
