Crystal angle	Rate at 30kV
theta/	R(30kV)/Imp/s

3,0	580,0
3,1	540,0
3,2	403,0
3,3	307,0
3,4	225,0
3,5	144,0
3,6	106,0
3,7	70,0
3,8	61,0
3,9	52,0
4,0	49,0
4,1	42,0
4,2	43,0
4,3	38,0
4,4	42,0
4,5	38,0
4,6	41,0
4,7	38,0
4,8	45,0
4,9	46,0
5,0	54,0
5,1	66,0
5,2	73,0
5,3	88,0
5,4	88,0
5,5	96,0
5,6	108,0
5,7	102,0
5,8	112,0
5,9	106,0
6,0	114,0
6,1	113,0
6,2	122,0
6,3	139,0
6,4	135,0
6,5	142,0
6,6	143,0
6,7	161,0
6,8	177,0
6,9	196,0
7,0	196,0
7,1	261,0
7,2	322,0
7,3	367,0
7,4	397,0
7,5	382,0
7,6	456,0
7,7	563,0
7,8	319,0
7,9	174,0
8,0	166,0
8,1	167,0
