Crystal angle	Rate at 24kV
theta/	R(24kV)/Imp/s

3,0	236,0
3,1	217,0
3,2	164,0
3,3	124,0
3,4	94,0
3,5	55,0
3,6	31,0
3,7	18,0
3,8	12,0
3,9	11,0
4,0	13,0
4,1	11,0
4,2	10,0
4,3	9,0
4,4	7,0
4,5	8,0
4,6	9,0
4,7	9,0
4,8	8,0
4,9	7,0
5,0	6,0
5,1	8,0
5,2	9,0
5,3	9,0
5,4	12,0
5,5	10,0
5,6	13,0
5,7	15,0
5,8	21,0
5,9	22,0
6,0	24,0
6,1	35,0
6,2	37,0
6,3	45,0
6,4	56,0
6,5	56,0
6,6	58,0
6,7	70,0
6,8	77,0
6,9	83,0
7,0	84,0
7,1	96,0
7,2	114,0
7,3	116,0
7,4	143,0
7,5	131,0
7,6	147,0
7,7	171,0
7,8	128,0
7,9	95,0
8,0	94,0
8,1	97,0
8,2	104,0
8,3	111,0
8,4	110,0
8,5	114,0
8,6	118,0
8,7	114,0
8,8	117,0
8,9	111,0
9,0	114,0
9,1	114,0
9,2	119,0
9,3	127,0
9,4	117,0
9,5	123,0
