Crystal angle	Rate at 35kV
theta/	R(35kV)/Imp/s

3,0	1028,0
3,1	895,0
3,2	600,0
3,3	447,0
3,4	316,0
3,5	238,0
3,6	175,0
3,7	155,0
3,8	138,0
3,9	130,0
4,0	132,0
4,1	123,0
4,2	120,0
4,3	118,0
4,4	128,0
4,5	146,0
4,6	159,0
4,7	171,0
4,8	188,0
4,9	198,0
5,0	198,0
5,1	192,0
5,2	202,0
5,3	205,0
5,4	197,0
5,5	193,0
5,6	189,0
5,7	177,0
5,8	186,0
5,9	179,0
6,0	170,0
6,1	183,0
6,2	189,0
6,3	220,0
6,4	239,0
6,5	255,0
6,6	261,0
6,7	260,0
6,8	306,0
6,9	360,0
7,0	354,0
7,1	432,0
7,2	550,0
7,3	648,0
7,4	727,0
7,5	702,0
7,6	825,0
7,7	1072,0
7,8	655,0
7,9	245,0
8,0	246,0
8,1	251,0
8,2	257,0
8,3	269,0
8,4	275,0
8,5	290,0
8,6	269,0
8,7	280,0
8,8	282,0
8,9	264,0
9,0	281,0
9,1	284,0
9,2	294,0
9,3	295,0
9,4	308,0
9,5	302,0
9,6	291,0
9,7	293,0
9,8	281,0
9,9	280,0
10,0	264,0
10,1	267,0
10,2	260,0
10,3	258,0
10,4	252,0
10,5	237,0
10,6	253,0
10,7	242,0
10,8	250,0
10,9	235,0
11,0	250,0
11,1	243,0
11,2	239,0
11,3	239,0
11,4	230,0
11,5	232,0
11,6	231,0
11,7	235,0
11,8	219,0
11,9	218,0
12,0	218,0
12,1	208,0
12,2	216,0
12,3	222,0
12,4	220,0
12,5	222,0
12,6	210,0
12,7	209,0
12,8	205,0
12,9	211,0
13,0	218,0
13,1	236,0
13,2	262,0
13,3	343,0
13,4	413,0
13,5	335,0
13,6	229,0
13,7	219,0
13,8	205,0
13,9	176,0
14,0	199,0
14,1	189,0
14,2	194,0
14,3	193,0
14,4	212,0
14,5	222,0
14,6	223,0
14,7	223,0
14,8	278,0
14,9	529,0
15,0	996,0
15,1	985,0
15,2	558,0
15,3	293,0
15,4	198,0
15,5	166,0
15,6	148,0
15,7	155,0
15,8	139,0
15,9	146,0
16,0	146,0
16,1	140,0
16,2	143,0
16,3	126,0
16,4	133,0
16,5	127,0
16,6	134,0
16,7	115,0
16,8	127,0
16,9	121,0
17,0	113,0
17,1	111,0
17,2	107,0
17,3	104,0
17,4	112,0
17,5	103,0
17,6	96,0
17,7	100,0
17,8	97,0
17,9	104,0
18,0	93,0
18,1	96,0
18,2	93,0
18,3	94,0
18,4	88,0
18,5	89,0
18,6	96,0
18,7	96,0
18,8	93,0
18,9	87,0
19,0	80,0
19,1	83,0
19,2	89,0
19,3	80,0
19,4	81,0
19,5	79,0
19,6	87,0
19,7	82,0
19,8	85,0
19,9	79,0
20,0	98,0
20,1	122,0
20,2	88,0
20,3	73,0
20,4	68,0
20,5	68,0
20,6	67,0
20,7	58,0
20,8	64,0
20,9	61,0
21,0	62,0
21,1	62,0
21,2	65,0
21,3	59,0
21,4	59,0
21,5	59,0
21,6	67,0
21,7	58,0
21,8	58,0
21,9	62,0
22,0	64,0
22,1	70,0
22,2	69,0
22,3	69,0
22,4	81,0
22,5	139,0
22,6	238,0
22,7	248,0
22,8	189,0
22,9	97,0
23,0	70,0
23,1	57,0
23,2	56,0
23,3	58,0
23,4	46,0
23,5	49,0
23,6	55,0
23,7	57,0
23,8	50,0
23,9	48,0
24,0	45,0
24,1	46,0
24,2	45,0
24,3	45,0
24,4	45,0
24,5	43,0
24,6	49,0
24,7	44,0
24,8	37,0
24,9	41,0
25,0	39,0
25,1	42,0
25,2	38,0
25,3	40,0
25,4	44,0
25,5	46,0
25,6	42,0
25,7	38,0
25,8	48,0
25,9	38,0
26,0	35,0
26,1	40,0
26,2	41,0
26,3	39,0
26,4	37,0
26,5	37,0
26,6	38,0
26,7	36,0
26,8	39,0
26,9	39,0
27,0	37,0
27,1	48,0
27,2	45,0
27,3	40,0
27,4	39,0
27,5	38,0
27,6	37,0
27,7	33,0
27,8	33,0
27,9	37,0
28,0	34,0
28,1	36,0
28,2	32,0
28,3	34,0
28,4	30,0
28,5	35,0
28,6	31,0
28,7	28,0
28,8	31,0
28,9	28,0
29,0	31,0
29,1	32,0
29,2	31,0
29,3	32,0
29,4	29,0
29,5	32,0
29,6	36,0
29,7	32,0
29,8	27,0
29,9	33,0
30,0	30,0
30,1	35,0
30,2	36,0
30,3	35,0
30,4	36,0
30,5	41,0
30,6	63,0
30,7	63,0
30,8	54,0
30,9	46,0
31,0	35,0
31,1	28,0
31,2	31,0
31,3	25,0
31,4	26,0
31,5	25,0
31,6	23,0
31,7	25,0
31,8	24,0
31,9	23,0
32,0	24,0
32,1	26,0
32,2	27,0
32,3	28,0
32,4	25,0
32,5	19,0
32,6	23,0
32,7	23,0
32,8	20,0
32,9	23,0
33,0	20,0
33,1	23,0
33,2	17,0
33,3	23,0
33,4	19,0
33,5	20,0
33,6	25,0
33,7	20,0
33,8	22,0
33,9	22,0
34,0	20,0
34,1	20,0
34,2	17,0
